blue_win,GoldDiff,MinionDiff,JgMinionDiff,LevelDiff,KillDiff,HeraldDiff,DragonDiff,TowersDiff
1,-781,46,2,0,-6,1,0,-1
1,562,11,2,0.4,-1,1,1,1
0,-4316,0,-25,-0.8,-6,-1,1,-1
0,-2592,-16,-19,-0.4,-8,1,0,1
0,-877,-71,-31,-0.2,2,-1,0,1
0,-4263,-13,24,-0.6,-11,-1,-1,-2
0,-1109,-60,-47,-0.2,1,-1,-2,0
0,2027,-32,0,0.2,8,1,1,1
0,3,-61,-5,0,0,1,-1,1
0,-1870,-90,-1,-0.8,-2,1,-2,0
0,-725,-39,13,0.2,-2,1,-1,-1
1,-638,-72,-7,0,1,-1,0,0
1,-1345,-4,29,0,-1,-1,1,-1
1,2621,-8,-8,0.2,5,-1,1,1
1,9298,104,54,1.4,19,1,2,2
1,-1374,8,1,-0.2,-5,1,-1,1
0,-3274,-53,-20,-0.4,1,0,1,-2
1,-39,-37,-14,0,5,0,2,0
1,7052,36,25,0.6,12,0,2,2
0,-6568,-18,-35,-1.4,-10,1,0,-2
0,-2913,-67,-8,-0.8,-4,0,-2,-2
0,951,25,11,0.4,2,1,-1,0
0,311,44,-35,0,1,0,1,1
1,3485,47,1,0.2,1,1,0,1
1,2754,16,-35,0.2,1,-1,-2,1
1,8489,18,26,0.8,10,1,1,3
1,6522,60,13,1,8,1,2,1
1,6324,81,-13,1.4,10,0,0,1
1,6179,49,18,0.8,6,1,2,2
0,-2350,-3,-12,-0.2,-3,-1,-2,-1
0,1555,-10,25,0.2,0,0,-1,0
0,-4420,-51,8,-0.2,-7,-1,-2,-1
1,3892,-29,13,0.4,8,1,0,1
1,-157,-40,1,-0.4,0,1,0,0
1,-2197,-13,-11,-0.4,-5,0,0,0
0,694,-46,6,0.4,8,-1,-2,-1
1,4434,15,-22,0.4,8,0,-2,1
0,166,13,-6,0,1,1,-2,0
0,-3206,-19,-33,-0.4,-3,-1,-2,-2
0,-5452,30,-18,-0.6,-7,-1,0,-1
1,1485,32,-24,0.4,2,-1,2,-1
0,-3175,12,-23,-0.4,-2,0,2,-1
1,5639,14,0,0.6,10,0,1,0
0,89,-29,-5,-0.6,-3,0,-1,1
1,-2175,-55,-14,-0.6,-2,1,-1,1
0,-3225,-35,-9,0,-1,-1,0,-2
0,-12582,-97,-60,-2,-16,-1,0,-3
1,10307,94,39,0.8,9,1,-1,3
0,-2505,4,-3,-0.2,-4,1,1,-1
1,3647,-58,10,1,7,1,1,1
1,5905,93,6,0.6,9,0,-2,1
0,-3142,-18,13,-0.2,-6,0,0,-1
1,-1326,4,2,-0.2,-2,0,0,-1
1,2861,18,17,0,3,1,0,2
1,4084,12,5,0.8,7,-1,2,1
1,6699,-16,7,0.6,13,1,2,1
0,232,-52,11,0,2,1,0,0
0,2892,45,2,0,-1,1,-1,2
1,13623,144,41,2.2,15,1,0,6
0,540,31,-5,0.8,4,-1,1,-1
0,-1235,-28,-4,-0.8,1,-1,0,-1
1,573,60,-13,0.4,-3,-1,2,0
1,4526,14,21,0.6,4,1,1,3
0,-3856,19,-28,-0.8,-5,-1,1,-1
1,-1039,27,-5,-0.6,1,-1,-2,0
0,-7255,-56,-7,-1,-11,1,0,-2
1,1538,50,-16,0,3,1,-2,1
0,-315,-23,-26,-0.4,-1,1,-2,1
0,-6241,-34,-18,-0.8,-5,-1,-1,-2
0,-451,16,11,0.2,1,-1,0,-1
0,-1620,-28,-34,-0.6,-9,-1,-2,0
1,-1136,-1,-15,0.2,-1,-1,-1,-1
1,7812,53,24,1.2,11,1,2,2
1,-1995,38,4,0.2,-4,-1,-2,0
1,1518,1,34,0.2,0,1,0,1
0,-65,-8,-44,0.2,5,-1,-2,0
0,-6986,-82,-9,-1,-8,0,2,-2
0,-4435,-55,-12,-0.6,-7,-1,0,-2
1,2104,-36,-26,0.4,4,-1,-1,1
1,-669,-20,20,0.4,3,-1,2,-1
1,506,22,21,-0.2,-5,1,-2,1
0,1001,19,0,-0.2,2,1,0,1
1,3234,-30,-3,0,6,0,0,0
1,977,8,4,-0.2,-2,1,0,2
1,6650,68,0,0.6,12,1,1,2
0,-2773,-45,-4,-0.6,-4,1,0,1
1,7824,11,5,0.8,10,1,-1,2
1,-644,-53,-28,-0.2,4,-1,2,0
0,3751,71,-15,0.8,6,0,1,1
1,6075,1,26,0.8,10,1,-1,2
0,-2362,-23,-29,-0.4,0,-1,-2,-1
1,5289,38,-3,1,9,-1,1,1
0,-3410,-4,-7,-0.6,-7,1,0,0
0,-1840,24,-14,-0.4,-4,-1,-2,0
1,8141,45,26,1.4,14,1,2,3
1,3838,-5,11,0.6,10,-1,0,1
0,-4782,-60,-14,-0.6,-4,-1,1,-1
0,-10026,-91,-38,-1.4,-11,0,1,-2
1,-2280,4,3,0,-1,-1,-1,-1
1,254,24,4,0.4,3,-1,-2,-1
1,-1447,-19,25,0,-3,-1,2,0
0,-2584,-31,-24,-0.6,-3,1,-1,0
0,-10592,-104,-16,-1.6,-11,0,1,-4
1,-1490,-19,-7,-0.4,-2,1,-1,0
1,5785,45,-9,0.8,6,1,-2,2
0,-2169,-34,-16,-0.2,2,1,-1,-1
1,5194,59,1,0.8,9,1,1,1
1,-2479,21,-13,-0.2,-4,0,-2,0
1,-954,-1,-25,-0.4,-3,1,0,0
0,-105,-12,-22,0,-1,1,1,0
0,-5430,-58,16,-0.6,-6,-1,-2,-1
0,-1927,-16,-2,0.4,-2,-1,0,0
0,-1822,-50,-17,-0.2,-2,1,-1,0
0,-4178,-41,6,-0.2,-3,-1,0,-2
1,-638,-45,4,-0.2,1,-1,-2,0
1,-54,12,-1,0,-5,1,0,2
0,-3319,-42,-16,-0.6,-4,-1,2,-1
1,-1397,-38,2,-0.6,-1,0,-1,0
1,1803,11,27,0.4,3,-1,1,-1
1,3951,60,-3,0.2,6,-1,-1,0
0,-640,49,-21,0.2,1,0,2,0
1,5378,-10,26,1,12,1,2,0
1,6336,35,-22,0.6,11,1,1,2
0,4435,21,62,0.8,3,1,1,0
1,9722,54,20,1.2,14,1,1,3
0,1125,4,13,0.4,4,0,-1,0
0,-2656,-39,0,-0.8,-1,-1,2,-2
1,1230,-13,7,0.8,2,-1,2,1
1,6532,-8,28,0.8,10,1,2,2
1,5702,-11,33,0.4,8,1,0,1
0,-3339,-65,-19,-0.4,-6,1,-1,0
1,3164,99,-17,0.6,6,-1,-1,0
0,-3193,-31,-3,-0.8,-7,1,-1,-1
1,-992,6,-4,0,-6,1,2,1
1,-1016,-19,7,-0.4,3,0,2,-1
0,-775,-55,5,0,-1,1,-2,0
1,6883,100,2,0.8,4,1,1,3
0,3118,63,-6,0.4,3,-1,1,1
0,878,49,-20,-0.4,-4,1,-2,1
1,-761,-2,4,-0.2,-1,-1,-2,0
0,-1489,8,-26,0,0,0,0,-1
1,5405,9,13,0.4,7,1,-2,1
0,764,-13,6,0.6,2,0,-1,0
0,-5622,-56,-26,-0.4,-10,1,-1,-1
1,14265,158,15,1.6,10,1,2,9
0,-9665,-77,-28,-1,-10,0,-2,-3
0,-737,1,-28,-0.4,0,1,-1,1
1,-1149,-15,-18,-0.2,-2,1,-2,1
0,-6296,-98,-18,-1.2,-3,1,-1,-2
1,4682,17,-4,0.2,6,0,0,1
1,-690,-2,22,0.6,3,-1,0,-2
0,-5691,-33,-9,-1,-6,-1,-2,-2
1,-1005,50,24,0.4,-2,-1,2,-2
1,8392,7,21,1,9,1,1,4
0,-4940,-52,-5,0,-5,-1,-2,-2
0,-1615,-20,0,-0.2,0,-1,0,0
0,-2769,-39,11,-0.2,-5,1,0,0
1,2279,-24,-14,-0.2,5,1,2,0
0,-1863,8,-18,-0.2,-3,1,0,-1
1,4497,11,32,0.8,5,1,-2,2
1,7393,102,14,0.6,6,1,0,3
1,7965,51,29,0.6,10,1,0,3
0,241,-28,-16,-0.2,2,1,2,-1
0,-1271,-74,10,-0.2,-5,1,-1,2
1,9228,63,12,0.8,9,1,-1,3
1,1968,14,-11,0.2,8,-1,1,-1
1,4926,-13,28,1,6,1,2,1
1,1344,18,24,0.6,2,0,1,-1
0,-111,43,-30,0.2,0,1,1,1
0,-7630,-35,-56,-0.8,-8,-1,-2,-2
0,-2023,-27,4,0,-3,0,-2,-1
1,4783,35,17,-0.2,3,1,2,1
0,-3582,22,-17,0,-4,-1,0,0
0,-4400,-28,-4,-1,-7,0,0,-1
1,6659,79,-5,0.6,8,0,0,1
0,5043,45,-24,0.4,8,1,-1,1
0,-3967,-2,-4,0,-7,-1,-2,-2
1,2815,9,5,0.4,6,1,1,0
0,-1189,5,-9,-0.4,-1,1,0,0
0,4145,-11,22,1,5,1,-1,2
1,-1530,-85,-25,-0.2,2,-1,0,-1
1,7162,72,24,0.6,5,0,-1,1
0,-3429,-12,-32,0,-2,-1,1,-2
1,-1212,-55,-41,-0.4,3,1,-1,0
0,1088,15,-4,0.2,0,0,0,1
0,-4048,-6,-20,-0.4,-1,-1,1,-2
1,-4253,-27,15,0.2,-5,-1,2,-1
0,675,-27,5,-0.2,-3,1,0,2
1,1902,-11,-28,0,1,1,-1,1
0,-12030,-129,-27,-1.8,-15,-1,-1,-2
0,-1566,2,-4,-0.4,-4,0,-1,0
1,8966,34,62,1.2,12,0,0,2
1,763,1,-8,0.2,0,1,1,1
0,-3377,-36,-41,-0.6,-3,-1,-2,-1
0,-3627,-15,18,-0.4,-9,-1,1,-1
1,-2053,-80,-15,-0.2,0,1,-2,-1
1,7089,-1,40,1.6,10,0,1,1
1,429,-68,27,0,7,1,1,-1
0,5299,74,-10,0.8,8,0,0,0
0,-8047,-37,-25,-0.8,-10,-1,-2,-2
0,2429,27,2,-0.2,2,1,0,2
1,-1815,35,-29,0.4,-1,-1,-1,0
1,8777,73,-12,1.4,10,1,-1,3
1,2755,8,-10,-0.2,2,1,0,1
1,4702,-18,8,0.8,6,1,-1,1
0,-9883,-109,-43,-1.4,-8,0,-2,-4
1,6861,43,-16,0.8,9,1,2,1
1,3325,7,-5,0.2,2,1,0,1
0,-3707,24,-8,-0.2,-4,1,-1,-1
1,1756,-2,12,0,3,0,0,-1
1,7373,38,52,1.2,5,0,2,2
0,-303,-5,12,0.6,-2,-1,-1,0
0,-587,-3,-4,0,-2,-1,1,0
0,-9536,-107,-27,-1,-11,1,0,-2
1,-335,-24,4,0.2,6,-1,0,-1
0,-1096,-17,-12,-0.4,-3,1,-1,0
1,30,-28,12,-0.2,-1,1,1,0
1,-1444,-56,28,0.2,-2,-1,2,0
1,2358,32,24,0,2,1,2,0
0,-11265,-75,-40,-1.6,-13,-1,-2,-4
0,-4368,-10,12,-0.6,-10,-1,-2,0
0,-64,4,14,-0.8,3,1,-2,0
0,-642,-58,-19,0,3,-1,-1,1
1,6134,30,9,0.4,7,1,-1,3
1,6522,74,-16,1.2,7,1,2,3
0,4200,50,40,0.4,2,1,2,3
0,-9996,-91,-7,-1,-14,1,-2,-3
1,10455,17,-26,1,19,1,0,4
0,-4034,37,-41,-0.2,-4,-1,-2,-1
0,1870,43,8,0,7,1,-2,-1
0,-1562,7,-8,-0.2,-4,-1,-2,0
1,-5309,-15,-12,-0.2,-6,0,2,-1
1,6761,79,-16,0.2,9,1,-1,3
0,179,-33,5,-0.2,5,-1,0,-1
1,1496,-13,-10,-0.4,-1,1,-1,2
0,3867,48,1,0.2,4,-1,0,1
0,-1802,-28,1,-0.2,-3,1,-1,-1
0,1562,15,34,0.6,0,-1,0,0
0,-7927,-15,6,-0.6,-13,-1,0,-2
0,-1671,-32,-20,-0.6,-2,-1,-1,0
0,-13368,-167,-21,-1.8,-14,1,-1,-5
1,1095,10,-1,0.2,2,-1,1,-1
0,2598,37,23,0.2,0,1,-1,1
1,5394,19,31,0.4,8,1,2,2
0,-6406,-2,-24,-0.4,-9,-1,-1,-2
0,-4091,-12,-10,-1,-10,-1,-1,-2
0,-3219,-21,21,-0.4,-6,-1,0,-1
1,816,30,24,0,-2,1,0,1
0,-963,5,-2,-0.4,-1,0,2,0
1,1839,16,-7,0.4,1,-1,-2,1
1,5596,106,40,1.4,9,-1,0,1
0,-315,1,-17,-0.4,-1,1,0,0
1,-1625,24,-26,-0.4,-2,-1,-2,-1
1,946,88,-40,0.4,-1,-1,-2,0
1,4970,37,-4,0.4,5,-1,0,1
1,-346,36,-29,0,-1,-1,-2,0
1,2848,31,14,0.6,2,1,-1,1
0,-6350,-9,3,-1,-12,1,-2,-1
1,6857,78,-22,0.8,9,1,0,2
1,13749,118,39,1.8,18,-1,1,4
0,1967,-26,12,0,3,1,-1,1
1,4597,-27,9,0.4,9,1,2,2
1,1375,2,-18,0.4,6,-1,0,1
0,-8945,-91,-48,-1.6,-10,-1,-2,-3
0,-507,-16,15,-0.2,-2,0,0,1
1,12352,107,24,1.2,13,1,2,4
1,1797,12,-41,0.2,0,-1,0,2
0,-4469,-3,-26,-0.6,-4,-1,0,-2
1,-2343,-6,20,-0.4,-2,-1,0,-1
0,-795,-2,-3,-0.2,-1,1,2,0
1,3074,37,0,0.4,5,0,2,1
1,7013,19,7,0.6,7,1,0,2
0,-1229,-19,-15,-1,-3,1,1,1
1,-3141,-40,-5,-0.2,-1,-1,2,-1
1,-468,5,41,0.4,-2,0,1,0
0,-969,-60,-3,-0.4,4,1,2,1
0,-6414,-57,-17,-0.6,-6,-1,-2,-3
0,1586,10,17,0.4,1,1,2,1
1,-3133,-30,-4,0.2,-6,-1,-1,0
0,2278,64,31,0.6,0,-1,1,1
1,-580,-10,26,0.6,1,1,1,-1
1,-3257,17,2,0,-5,-1,-2,-1
0,-15739,-181,-33,-3,-20,-1,-1,-7
0,-1653,35,-14,-0.8,-7,1,0,0
0,-4120,-60,-7,-0.8,-4,0,-1,-1
1,8225,14,26,1,12,1,2,2
1,-2143,10,-7,-0.8,-3,-1,-2,-1
0,596,1,-16,0.2,0,1,-2,2
0,-4560,-38,-52,-0.4,-1,-1,2,-2
1,-3559,1,1,-0.4,-6,-1,1,-1
1,641,15,17,0.2,2,0,2,-1
1,-2406,-37,-23,0,-1,1,-2,-1
0,-7621,-31,-1,-1,-11,-1,-1,-3
1,-1132,-53,14,0.2,0,1,-1,0
1,-4453,-32,-20,-0.4,-2,-1,0,-3
0,-8747,-30,-28,-1.2,-11,1,-2,-2
1,-2102,-46,-3,0,0,-1,-2,-1
1,1919,97,-39,-0.2,0,-1,-1,1
1,3570,79,0,0,1,1,0,2
1,6041,-24,14,0.8,11,1,-1,2
1,-1952,9,-24,-0.4,-5,1,0,0
1,3676,35,17,0.2,0,1,-2,2
0,-395,-44,-35,-0.6,1,1,-2,0
0,-1119,9,-15,-0.2,-3,1,-1,1
1,4154,46,-12,0.4,6,-1,2,1
0,5464,25,-8,0.6,5,1,-1,2
1,-846,-23,19,-0.2,-1,-1,-1,0
1,6537,20,-1,0.8,11,1,-1,1
0,-575,-31,-2,0.2,-1,0,0,0
1,-1577,3,27,-0.2,-10,1,-1,1
0,-4083,-46,-14,-0.8,-3,-1,-1,-2
0,-7951,-34,-24,-1.2,-9,-1,0,-2
1,3392,10,7,0.8,10,-1,2,0
0,3758,32,8,0.2,3,0,-2,1
0,-2545,-14,-27,-0.4,0,-1,0,-1
1,10647,38,21,0.6,13,1,1,4
1,6039,28,-4,1,12,-1,0,0
1,11025,70,-1,1.6,16,1,0,4
1,710,26,7,0,0,1,2,1
1,-1878,-14,-19,-0.8,-3,0,0,0
0,-9325,-69,-28,-1.8,-15,0,1,-2
1,1559,52,-2,0.8,2,-1,2,0
1,4085,50,24,0.8,5,-1,1,1
0,5633,81,7,1,7,0,2,1
1,2831,6,5,0.2,8,1,2,1
1,4463,36,21,0.6,6,1,0,0
0,552,-22,-8,0,2,1,2,1
1,-299,-33,-26,-0.2,-3,-1,-2,1
1,280,-13,6,-0.2,1,-1,2,-1
0,-2555,25,-31,-0.6,-4,1,-1,-1
1,1983,34,-1,0.2,3,1,0,1
1,7089,82,63,1,6,0,2,1
1,2010,20,12,0.6,2,-1,1,-1
0,-109,-31,-37,-0.4,1,1,0,0
0,-3098,2,-3,-0.8,-7,-1,1,0
0,-755,-39,-15,0,0,-1,2,1
0,-3876,-12,17,-0.6,-4,-1,1,-2
1,6865,50,-2,0.8,10,1,0,2
0,-2134,-40,-9,0,3,-1,-1,-1
0,-1694,2,8,-0.2,1,-1,-1,-1
1,2959,10,22,0,2,1,0,1
1,3134,58,-38,0.2,3,1,0,2
0,458,-3,1,0,-1,1,0,1
0,-5630,-54,-19,-0.4,-9,-1,-1,-1
1,-1784,-16,28,0.2,-2,0,0,-1
0,1993,22,-11,-0.8,1,-1,0,-1
0,-5642,-76,-7,-0.6,-2,-1,-2,-3
0,-2921,43,21,0.2,-4,-1,-1,-1
1,3696,-57,2,0,6,1,2,1
1,-708,-34,-22,0,-5,-1,2,-1
0,-2603,19,-42,-0.4,-4,1,-1,-1
1,7076,31,-33,0.4,12,1,0,3
0,87,-11,4,-0.2,1,1,-1,1
0,2827,12,-35,0.4,4,0,1,1
0,-9985,-74,-61,-1.8,-7,-1,0,-4
1,5232,-19,33,0.6,10,1,1,2
1,5371,-12,4,0.6,15,1,2,2
0,-8860,-58,14,-1,-11,-1,-2,-6
0,-7174,-58,-26,-0.4,-9,-1,2,-3
1,8693,71,48,0.8,10,-1,0,3
0,5358,-25,20,0.2,8,1,0,3
1,4100,42,-3,0.6,7,1,-2,0
1,1028,21,-8,0.2,4,1,0,0
1,-837,-7,-9,0.2,2,-1,1,0
1,4113,-14,9,0.6,7,-1,0,0
0,-10690,-14,-29,-1,-15,-1,-2,-5
1,5361,73,36,1.6,12,-1,2,0
1,-354,-46,31,0,-4,1,-2,1
1,6713,120,36,0.6,4,-1,1,1
0,510,9,-7,0,-4,1,-1,1
1,8267,79,25,1.2,4,1,0,5
0,-11793,-96,-26,-2,-11,-1,-2,-7
1,5565,46,50,1.4,6,1,-1,2
0,-5202,-56,-23,-0.8,-7,1,-1,-1
1,7713,103,20,1.4,11,-1,2,2
1,2381,-2,33,0.6,2,1,2,2
1,6723,3,3,0.6,13,1,1,1
1,3203,69,-7,0.8,2,-1,1,1
0,-5048,1,-13,-0.8,-8,-1,-2,-2
1,1232,37,10,0,-1,1,0,1
0,2232,11,-8,0,2,0,-1,0
0,-3332,-20,7,-0.2,-7,-1,-1,-1
1,4939,-25,-12,0.8,13,0,1,2
1,-596,-32,-5,0.4,0,-1,0,-1
1,3000,25,-22,0.2,6,-1,0,2
0,-709,5,-22,0,-5,1,-2,1
0,939,-9,-28,0,3,1,-2,1
1,-220,-36,37,-0.2,0,-1,2,-1
1,2181,-49,20,0.4,6,1,0,1
1,-780,3,-11,0,2,-1,0,-1
1,-305,90,-11,0.2,-3,0,-2,0
1,5797,63,-9,0.6,8,1,2,2
0,-1249,-19,-15,-0.2,-2,1,-1,0
1,3067,68,-17,0.2,2,1,-1,1
1,6138,39,9,0.8,9,1,0,3
1,6085,36,13,1,8,1,0,4
1,1620,-28,9,0,4,1,0,0
0,1323,-6,-6,0.2,2,1,2,-1
0,-6454,-50,-47,-1.2,-7,-1,0,-2
1,5622,-11,38,1.4,10,0,1,0
0,-7522,-18,-63,-1.2,-10,-1,-2,-2
0,855,30,15,0.2,3,-1,0,0
0,-4948,-34,-60,-1.2,-6,-1,-2,-1
1,2490,1,-12,0.8,4,-1,0,1
0,-3172,-27,-44,-0.4,-3,-1,-1,-1
1,3270,17,2,0.4,8,-1,2,1
1,2150,-1,0,0.4,5,0,1,0
0,792,-77,11,0,4,0,2,0
1,7947,16,-1,0.8,13,1,0,3
0,-3990,-1,-14,-0.6,-7,1,1,0
1,2132,5,-11,0,3,1,-1,1
1,6578,24,1,0.8,9,1,0,1
0,-1404,-46,-6,-0.2,-2,-1,1,1
1,1568,-6,-12,0.4,4,0,0,1
0,-7825,-63,-15,-1,-8,-1,-2,-2
1,-2058,-12,-9,-0.4,-4,1,-1,0
1,-8984,-98,5,-0.6,-10,-1,0,-3
0,-6818,-41,-45,-0.8,-4,0,-2,-1
1,4366,55,1,0.8,10,-1,0,-1
1,5556,17,19,0.2,11,0,1,2
1,1988,46,13,0.2,2,1,-1,1
1,1853,-8,-23,0,4,1,0,0
1,1962,11,28,0.4,-1,0,0,1
1,4654,-40,51,0.6,5,1,1,1
0,1381,36,-10,0.4,6,0,0,0
0,-1875,-21,-1,-0.2,-3,0,-1,0
0,-2930,-76,-18,-1,-3,1,-2,0
0,-1498,26,22,0,-3,0,2,1
0,-3138,-21,-17,-1.4,-7,1,-2,1
1,1340,15,-10,-0.2,0,-1,0,-1
1,2558,89,6,0.6,5,0,0,0
0,-4693,-23,-38,-0.8,-8,1,0,-1
0,-6690,-68,-32,-1.2,-11,1,-1,-1
0,-4073,6,3,-0.6,-7,1,2,0
0,-10063,-60,-6,-1,-15,-1,-1,-3
0,-3526,55,-5,-0.2,-8,-1,-2,-1
1,-3700,-77,12,-0.6,-2,-1,-2,-2
0,1088,-18,-1,-0.2,6,0,1,-1
0,-11730,-102,-31,-1.6,-9,-1,-2,-7
0,-4657,-32,-18,-0.4,-1,-1,-1,-3
1,-754,-47,-9,0,3,-1,0,-2
1,4181,13,12,0.4,7,1,-1,1
1,2786,50,5,0.2,0,1,-2,1
1,8196,63,-5,0.8,13,1,0,3
0,-2302,-41,-26,-0.8,1,1,-2,-1
0,-1394,28,11,0.4,-2,1,-2,0
0,-1268,-39,20,0,1,-1,1,-1
0,1450,17,8,0.4,1,0,-1,0
0,1650,3,24,0.4,3,1,0,0
0,-1858,-24,-1,-0.2,-4,0,1,-1
0,-6652,-18,-35,-0.8,-12,0,0,0
0,-2160,-20,11,-0.4,-8,1,-2,1
0,-11640,-100,-18,-1.4,-19,0,0,-1
1,7081,58,32,0.8,8,1,2,2
0,-3173,2,19,0,-4,-1,1,-2
1,2150,74,-19,0,-2,1,1,2
1,8140,120,18,0.8,9,1,1,3
0,-3507,-20,-14,-0.4,-5,1,-2,0
1,3152,16,-8,0.4,4,1,1,1
1,3764,23,14,0.4,4,1,1,1
1,5614,29,0,0.6,7,1,-2,1
1,2035,-8,15,0,4,-1,2,1
0,-6835,-66,-47,-1,-7,-1,-2,-2
0,-6470,-42,-1,-0.8,-6,-1,-2,-3
1,1139,51,-45,0.2,-1,1,-1,1
1,5306,-18,40,0.8,9,1,2,2
1,-4194,-58,-16,-0.4,-1,-1,0,-1
0,-679,20,0,-0.2,-3,-1,0,1
0,-1028,-23,-27,-0.2,2,1,-2,1
0,-3488,16,-6,-0.8,-11,1,-2,1
1,6609,11,25,0.8,13,1,1,2
0,-3925,-30,-39,-0.6,-1,-1,-1,-2
0,2914,-21,4,0,4,1,0,1
0,-675,27,-24,-0.4,-3,-1,-1,0
0,3278,28,32,0.8,5,0,1,1
0,1253,9,-8,0.2,0,-1,0,1
1,2661,-16,23,0.6,4,1,2,1
1,1296,-6,-6,0.4,3,1,0,0
0,-2949,8,31,-0.4,-10,-1,-2,0
0,5025,18,51,0.4,4,1,-1,2
1,-863,-28,-5,-0.2,-1,0,-2,-1
1,4555,-2,-13,0.8,11,0,1,-1
1,9139,39,56,1.6,10,1,2,4
0,-9301,-36,-24,-1,-11,-1,-2,-2
1,7130,71,14,0.8,4,1,2,3
0,-2135,-2,6,-0.6,-6,1,-2,0
0,1735,26,-22,-0.2,3,1,-1,1
1,2334,23,-30,0,9,-1,-2,0
1,1416,20,6,0,-3,1,1,1
0,959,50,-18,0.4,0,-1,0,-1
1,761,2,16,0.6,0,0,2,1
0,-1551,-4,0,-0.4,-3,0,0,0
1,-280,-5,-11,0,2,0,0,0
1,2299,3,2,0,3,1,2,1
1,11286,125,21,1.4,14,1,2,3
0,-2242,22,-15,0,-2,-1,0,-3
1,938,-1,-23,0.6,4,-1,0,0
0,-4202,0,-33,-0.4,-4,-1,-2,-1
1,6236,34,39,1,9,0,1,1
1,8302,48,-6,0.8,14,-1,-2,3
1,14289,131,31,1.6,15,1,2,5
1,4086,6,53,0.2,1,1,-1,2
0,2605,39,16,0.2,-1,1,-1,1
0,-1237,55,3,0,-6,1,1,0
1,1760,39,-5,0.2,0,0,1,1
1,5879,17,35,0.8,9,1,0,1
0,-2469,14,50,-0.2,-8,-1,1,0
0,-6139,-100,-21,-1,-6,1,0,-5
1,741,23,-33,0.6,2,0,0,-1
1,3530,69,44,0.2,3,-1,0,-1
1,2742,-20,3,0.4,6,-1,0,0
0,-3448,-27,-38,-0.6,0,-1,1,-1
1,3487,-13,47,0.6,2,1,1,1
0,534,33,-45,-0.4,8,0,1,-2
0,-11273,-127,-34,-1.6,-12,-1,-2,-6
1,3206,40,4,0.8,1,1,0,1
1,-2889,14,-4,-0.8,-7,0,-2,0
0,418,-29,34,0,-4,1,0,1
0,-1526,-10,0,-0.6,-5,0,1,1
0,-14755,-154,-45,-2.4,-14,-1,-2,-9
0,-6332,-21,4,-0.4,-7,-1,-1,-2
1,2731,53,4,0.4,3,-1,-1,0
0,-8286,-65,-18,-1.4,-9,-1,-2,-2
1,6036,9,50,1,9,0,-1,0
0,-4420,-67,-21,-0.6,-3,1,-1,-2
0,-136,-21,13,-0.2,-1,1,0,0
0,-8144,-40,-2,-0.6,-8,-1,-2,-3
0,-5034,7,-26,-1.2,-8,-1,-2,-2
1,-157,-6,-2,-0.2,-5,-1,-1,0
0,-2749,-78,7,-0.6,-4,1,-1,0
1,5456,28,4,0.6,7,1,2,2
1,-499,6,21,0.2,-2,-1,-1,0
0,-70,11,32,0.4,3,-1,1,-1
0,8666,33,32,1,13,1,2,2
1,6605,27,15,0.8,8,1,-1,3
0,-7549,-87,-26,-1,-10,-1,-2,-2
0,414,6,5,0,-3,1,-2,1
1,7032,-19,-19,0.6,12,1,0,2
1,4205,10,-34,0.4,7,-1,2,0
0,-2112,-11,4,-0.2,-4,0,0,0
0,-1145,-12,30,0,6,-1,0,-2
1,3817,30,45,0.2,3,0,2,1
1,4249,-4,10,0.2,10,1,2,2
0,-3513,-4,-24,-0.4,-5,-1,0,0
1,-2404,14,-11,0.4,-1,-1,2,-1
1,-3741,-56,-8,0.2,-2,-1,0,-3
1,4224,57,28,0.6,8,1,1,1
1,1824,-42,21,0.2,3,1,2,0
1,-2781,-48,7,0,1,-1,1,-1
1,3345,3,-20,0.2,10,1,1,1
0,-127,-18,17,-0.2,-2,1,0,0
1,1175,56,-20,0.8,0,-1,-1,1
0,-3629,-57,8,-0.6,-7,0,0,-1
0,-4257,-44,0,-0.2,-9,1,-1,0
1,-1314,38,-17,-0.2,-7,0,1,0
0,513,-10,-44,-0.6,-1,1,-2,1
0,-6076,13,2,-0.2,-10,-1,0,-1
1,-282,-5,-15,0,-2,-1,0,0
0,2716,-10,16,0.4,4,-1,-2,1
1,8326,23,36,1.6,12,1,0,2
0,-1974,-17,37,0,-6,1,-1,0
1,4931,5,6,0.6,7,1,0,2
0,-3863,-24,-14,-0.4,-5,1,-1,-1
1,6037,41,-4,0.2,6,1,2,3
1,-1304,-28,21,-0.2,-4,1,1,0
0,-1382,13,1,-0.2,-2,-1,1,-1
0,-5284,-83,26,-0.8,-4,-1,-2,-3
0,-1957,-7,-5,-0.4,0,-1,0,-2
0,-3916,-52,-3,-0.4,-3,-1,-2,-1
0,-10619,-106,-29,-1.8,-12,0,-2,-3
0,93,23,23,0.2,-1,0,0,0
0,2137,22,6,0.2,-1,-1,1,0
1,11035,127,11,1.6,14,1,1,3
0,-3414,-49,-20,-0.8,-4,1,-2,-1
0,-7805,-65,-60,-0.6,-6,0,-1,-3
1,1821,-8,15,0.2,-1,1,-2,1
0,-4574,-24,8,-0.8,-5,-1,-2,-1
0,7509,40,8,0.6,10,1,1,3
0,-4874,-51,-31,-1,-1,0,-2,-2
0,-1904,-28,15,-0.4,-4,-1,2,-1
0,-1246,27,-16,-0.2,-8,1,-2,0
